Wettbewerb,Spieltag,Datum,Heim,Auswaerts,ToreHeim,ToreAusw
NL,Liga A - Spieltag 1,2026-09-25 20:45,Italien,Belgien,,
NL,Liga A - Spieltag 1,2026-09-25 20:45,Türkei,Frankreich,,
NL,Liga A - Spieltag 2,2026-09-28 20:45,Belgien,Frankreich,,
NL,Liga A - Spieltag 2,2026-09-28 20:45,Türkei,Italien,,
NL,Liga A - Spieltag 3,2026-10-02 20:45,Belgien,Türkei,,
NL,Liga A - Spieltag 3,2026-10-02 20:45,Frankreich,Italien,,
NL,Liga A - Spieltag 4,2026-10-05 20:45,Frankreich,Belgien,,
NL,Liga A - Spieltag 4,2026-10-05 20:45,Italien,Türkei,,
NL,Liga A - Spieltag 5,2026-11-12 18:00,Türkei,Belgien,,
NL,Liga A - Spieltag 5,2026-11-12 20:45,Italien,Frankreich,,
NL,Liga A - Spieltag 6,2026-11-15 20:45,Belgien,Italien,,
NL,Liga A - Spieltag 6,2026-11-15 20:45,Frankreich,Türkei,,
NL,Liga A - Spieltag 1,2026-09-24 20:45,Niederlande,Deutschland,,
NL,Liga A - Spieltag 1,2026-09-24 20:45,Serbien,Griechenland,,
NL,Liga A - Spieltag 2,2026-09-27 18:00,Serbien,Niederlande,,
NL,Liga A - Spieltag 2,2026-09-27 20:45,Deutschland,Griechenland,,
NL,Liga A - Spieltag 3,2026-10-01 20:45,Deutschland,Serbien,,
NL,Liga A - Spieltag 3,2026-10-01 20:45,Griechenland,Niederlande,,
NL,Liga A - Spieltag 4,2026-10-04 20:45,Griechenland,Deutschland,,
NL,Liga A - Spieltag 4,2026-10-04 20:45,Niederlande,Serbien,,
NL,Liga A - Spieltag 5,2026-11-13 20:45,Niederlande,Griechenland,,
NL,Liga A - Spieltag 5,2026-11-13 20:45,Serbien,Deutschland,,
NL,Liga A - Spieltag 6,2026-11-16 20:45,Deutschland,Niederlande,,
NL,Liga A - Spieltag 6,2026-11-16 20:45,Griechenland,Serbien,,
NL,Liga A - Spieltag 1,2026-09-26 20:45,Tschechien,Kroatien,,
NL,Liga A - Spieltag 1,2026-09-26 20:45,England,Spanien,,
NL,Liga A - Spieltag 2,2026-09-29 20:45,Tschechien,England,,
NL,Liga A - Spieltag 2,2026-09-29 20:45,Spanien,Kroatien,,
NL,Liga A - Spieltag 3,2026-10-03 18:00,Kroatien,England,,
NL,Liga A - Spieltag 3,2026-10-03 20:45,Spanien,Tschechien,,
NL,Liga A - Spieltag 4,2026-10-06 20:45,Kroatien,Spanien,,
NL,Liga A - Spieltag 4,2026-10-06 20:45,England,Tschechien,,
NL,Liga A - Spieltag 5,2026-11-12 20:45,Tschechien,Spanien,,
NL,Liga A - Spieltag 5,2026-11-12 20:45,England,Kroatien,,
NL,Liga A - Spieltag 6,2026-11-15 20:45,Kroatien,Tschechien,,
NL,Liga A - Spieltag 6,2026-11-15 20:45,Spanien,England,,
NL,Liga A - Spieltag 1,2026-09-24 20:45,Norwegen,Dänemark,,
NL,Liga A - Spieltag 1,2026-09-24 20:45,Portugal,Wales,,
NL,Liga A - Spieltag 2,2026-09-27 18:00,Dänemark,Wales,,
NL,Liga A - Spieltag 2,2026-09-27 20:45,Norwegen,Portugal,,
NL,Liga A - Spieltag 3,2026-10-01 20:45,Dänemark,Portugal,,
NL,Liga A - Spieltag 3,2026-10-01 20:45,Wales,Norwegen,,
NL,Liga A - Spieltag 4,2026-10-04 20:45,Portugal,Norwegen,,
NL,Liga A - Spieltag 4,2026-10-04 20:45,Wales,Dänemark,,
NL,Liga A - Spieltag 5,2026-11-14 20:45,Portugal,Dänemark,,
NL,Liga A - Spieltag 5,2026-11-14 18:00,Norwegen,Wales,,
NL,Liga A - Spieltag 6,2026-11-17 20:45,Dänemark,Norwegen,,
NL,Liga A - Spieltag 6,2026-11-17 20:45,Wales,Portugal,,
NL,Liga B - Spieltag 1,2026-09-26 15:00,Slowenien,Schottland,,
NL,Liga B - Spieltag 1,2026-09-26 20:45,Nordmazedonien,Schweiz,,
NL,Liga B - Spieltag 2,2026-09-29 20:45,Slowenien,Nordmazedonien,,
NL,Liga B - Spieltag 2,2026-09-29 20:45,Schottland,Schweiz,,
NL,Liga B - Spieltag 3,2026-10-03 20:45,Nordmazedonien,Schottland,,
NL,Liga B - Spieltag 3,2026-10-03 20:45,Schweiz,Slowenien,,
NL,Liga B - Spieltag 4,2026-10-06 20:45,Schottland,Slowenien,,
NL,Liga B - Spieltag 4,2026-10-06 20:45,Schweiz,Nordmazedonien,,
NL,Liga B - Spieltag 5,2026-11-13 20:45,Schottland,Nordmazedonien,,
NL,Liga B - Spieltag 5,2026-11-13 20:45,Slowenien,Schweiz,,
NL,Liga B - Spieltag 6,2026-11-16 20:45,Nordmazedonien,Slowenien,,
NL,Liga B - Spieltag 6,2026-11-16 20:45,Schweiz,Schottland,,
NL,Liga B - Spieltag 1,2026-09-25 18:00,Georgien,Nordirland,,
NL,Liga B - Spieltag 1,2026-09-25 20:45,Ungarn,Ukraine,,
NL,Liga B - Spieltag 2,2026-09-28 18:00,Georgien,Ukraine,,
NL,Liga B - Spieltag 2,2026-09-28 20:45,Nordirland,Ungarn,,
NL,Liga B - Spieltag 3,2026-10-02 20:45,Ungarn,Georgien,,
NL,Liga B - Spieltag 3,2026-10-02 20:45,Ukraine,Nordirland,,
